SN20150528123933 Miller test unit tz UTC,startMinute,0,minutes per hour,60
1471633676,2016-8-19 19:7:56,75,2088.10,16.62
1471633677,2016-8-19 19:7:57,0,2088.10,16.62
1471633677,2016-8-19 19:7:57,25,2089.80,16.62
1471633677,2016-8-19 19:7:57,50,2090.70,16.62
1471633677,2016-8-19 19:7:57,75,2092.10,16.62
1471633678,2016-8-19 19:7:58,0,2094.10,16.61
1471633678,2016-8-19 19:7:58,25,2095.80,16.62
1471633678,2016-8-19 19:7:58,50,2096.60,16.62
1471633678,2016-8-19 19:7:58,75,2098.60,16.61
1471633679,2016-8-19 19:7:59,0,2099.70,16.62
1471633679,2016-8-19 19:7:59,25,2100.60,16.62
1471633679,2016-8-19 19:7:59,50,2101.70,16.61
1471633679,2016-8-19 19:7:59,75,2102.00,16.61
1471633680,2016-8-19 19:8:0,0,2102.30,16.61
1471633680,2016-8-19 19:8:0,25,2102.30,16.61
1471633680,2016-8-19 19:8:0,50,2102.00,16.62
1471633680,2016-8-19 19:8:0,75,2102.30,16.61
1471633681,2016-8-19 19:8:1,0,2102.90,16.61
1471633681,2016-8-19 19:8:1,25,2102.60,16.61
1471633681,2016-8-19 19:8:1,50,2102.50,16.60
1471633681,2016-8-19 19:8:1,75,2102.60,16.61
1471633682,2016-8-19 19:8:2,0,2102.00,16.61
1471633682,2016-8-19 19:8:2,25,2102.30,16.61
1471633682,2016-8-19 19:8:2,50,2100.90,16.61
1471633682,2016-8-19 19:8:2,75,2100.60,16.60
1471633683,2016-8-19 19:8:3,0,2100.30,16.61
1471633683,2016-8-19 19:8:3,25,2099.70,16.61
1471633683,2016-8-19 19:8:3,50,2098.30,16.61
1471633683,2016-8-19 19:8:3,75,2097.70,16.60
1471633684,2016-8-19 19:8:4,0,2095.40,16.60
1471633684,2016-8-19 19:8:4,25,2093.80,16.61
1471633684,2016-8-19 19:8:4,50,2092.30,16.60
1471633684,2016-8-19 19:8:4,75,2089.80,16.60
1471633685,2016-8-19 19:8:5,0,2087.50,16.60
1471633685,2016-8-19 19:8:5,25,2085.20,16.60
1471633685,2016-8-19 19:8:5,50,2082.10,16.60
1471633685,2016-8-19 19:8:5,75,2079.80,16.60
1471633686,2016-8-19 19:8:6,0,2076.40,16.60
1471633686,2016-8-19 19:8:6,25,2073.60,16.60
1471633686,2016-8-19 19:8:6,50,2071.00,16.60
1471633686,2016-8-19 19:8:6,75,2068.20,16.60
1471633687,2016-8-19 19:8:7,0,2065.60,16.60
1471633687,2016-8-19 19:8:7,25,2065.10,16.60
1471633687,2016-8-19 19:8:7,50,2063.60,16.60
1471633687,2016-8-19 19:8:7,75,2062.80,16.60
1471633688,2016-8-19 19:8:8,0,2064.20,16.61
1471633688,2016-8-19 19:8:8,25,2065.40,16.60
1471633688,2016-8-19 19:8:8,50,2067.60,16.60
1471633688,2016-8-19 19:8:8,75,2070.50,16.60
1471633689,2016-8-19 19:8:9,0,2074.10,16.60
1471633689,2016-8-19 19:8:9,25,2079.80,16.59
1471633689,2016-8-19 19:8:9,50,2084.30,16.59
1471633689,2016-8-19 19:8:9,75,2090.60,16.59
1471633690,2016-8-19 19:8:10,0,2095.40,16.59
1471633690,2016-8-19 19:8:10,25,2101.10,16.60
1471633690,2016-8-19 19:8:10,50,2105.90,16.59
1471633690,2016-8-19 19:8:10,75,2110.10,16.59
1471633691,2016-8-19 19:8:11,0,2113.30,16.60
1471633691,2016-8-19 19:8:11,25,2117.00,16.59
1471633691,2016-8-19 19:8:11,50,2118.40,16.59
1471633691,2016-8-19 19:8:11,75,2119.20,16.59
1471633692,2016-8-19 19:8:12,0,2118.70,16.59
1471633692,2016-8-19 19:8:12,25,2117.50,16.59
1471633692,2016-8-19 19:8:12,50,2117.00,16.59
1471633692,2016-8-19 19:8:12,75,2114.70,16.59
1471633693,2016-8-19 19:8:13,0,2111.30,16.59
1471633693,2016-8-19 19:8:13,25,2109.00,16.59
1471633693,2016-8-19 19:8:13,50,2105.60,16.59
